priority_batch,theme,title,slug,category,target_audience,brands,intent,risk_notes,queued_as
2,小宅租屋改造與低成本生活升級,不用裝潢，也能讓租屋處變好住：貼皮、燈具、收納與日用小物清單,rental-home-refresh-sticker-light-storage,lifestyle-culture,租屋族、小宅家庭、剛搬家讀者,奇米家、靚點燈飾、XINGMU 興沐、趁財財燈飾、Urban Nest 悠巢、藍貓BlueCat,租屋改造、小宅生活、照明與收納,避免裝修施工承諾；以可逆、低破壞、日常維護為主。,Q-0014
later,小宅租屋改造與低成本生活升級,一張桌子重整生活：居家辦公、手帳文具與椅子怎麼一起選,desk-life-reset-stationery-chair-home-office,lifestyle-culture,租屋族、小宅家庭、剛搬家讀者,睿睿購文具舖、御座椅業、FienHome、上手家居、匠藝家居,桌面工作、文具、椅子與小家具,不承諾工作效率提升；聚焦動線與使用頻率。,roadmap-only
later,小宅租屋改造與低成本生活升級,新家第一個月不要亂買：餐具、地墊、窗簾與生活用品的採買順序,new-home-first-month-dining-mat-curtain-list,lifestyle-culture,租屋族、小宅家庭、剛搬家讀者,Home & Ceramics、富居閣精選、尊爵家Monarch、安啦居家、廚Fun生活工坊,搬家採買、餐桌、地墊、窗簾,避免價格、庫存與促銷宣稱。,roadmap-only
1,季節家電與空氣流動生活,夏天前先整理家的空氣路線：循環扇、小家電與照明的舒適配置,summer-airflow-fan-small-appliance-lighting,lifestyle-culture,家庭、小資租屋族、辦公室與季節家電需求者,生活創意家 Life Creative KINYO 家電、Airmate艾美特、KINYO 官方旗艦店、心科技･生活家電館,循環扇、小家電、照明、租屋舒適,不承諾降溫、節電或健康效果；商品規格以商品頁為準。,Q-0013
1,季節家電與空氣流動生活,租屋族小家電清單：廚房、桌面、清潔與季節電器先買哪些,rental-small-appliance-kitchen-desk-cleaning,lifestyle-culture,家庭、小資租屋族、辦公室與季節家電需求者,生活創意家 Life Creative KINYO 家電、KINYO 官方旗艦店、Airmate艾美特、philo飛樂 / arlink,租屋小家電、廚房、桌面、清潔,避免寫死價格與型號規格。,Q-0013
2,手機配件與日常 3C 美感,手機不是只要保護殼：通勤、車用、充電與桌面的配件整理法,phone-accessory-commute-car-charging-desk,ai-innovation,手機使用者、通勤族、手機拍攝與桌面控,手些小子3C、TG3C、muni 3C、AiHome、湯米3C,手機殼、保護貼、充電、車用與桌面配件,不假裝實測；以情境與規格判斷框架為主。,Q-0014
later,手機配件與日常 3C 美感,韓系手機殼到 MagSafe：把手機配件整理成日常風格的一部分,korean-phone-case-magsafe-daily-style,ai-innovation,手機使用者、通勤族、手機拍攝與桌面控,TOUCH-KR、LANS藍星3C、Ches3c、PALLARIFY、潮欣達科技 TSTAR、卡仕科技,韓系手機殼、MagSafe、充電線材、桌面小物,避免宣稱耐摔、防護等未查證效果。,roadmap-only
2,男性通勤與正式場合穿搭,男士通勤不只一套西裝：襯衫、西裝褲、外套與皮鞋的場合清單,mens-commute-shirt-trousers-jacket-shoes,casual-chic,男性上班族、伴侶送禮、婚禮與面試需求者,GIBBON男裝、豪挺紳士西服、NARMES,男性通勤、正式場合、襯衫與西裝褲,避免身形焦慮語言；以場合與版型取捨為主。,Q-0014
later,男性通勤與正式場合穿搭,給伴侶或家人的實用衣櫥更新：大尺碼、正式場合與日常休閒怎麼選,practical-wardrobe-gift-plus-size-formal-casual,casual-chic,男性上班族、伴侶送禮、婚禮與面試需求者,GIBBON男裝、NARMES、Want-Meow、豪挺紳士西服,伴侶送禮、大尺碼、正式與休閒衣櫥,不以年齡框定讀者。,roadmap-only
2,換季寢具與睡眠空間,床包不是看花色而已：天絲、純棉、涼被與保潔墊的換季順序,seasonal-bedding-tencel-cotton-protector-guide,lifestyle-culture,重視居家舒適、剛搬家、換季整理讀者,Arvo Home、久賴家居、夢露家居、宜室家居、日創家居,寢具材質、床包、涼被、保潔墊,不承諾改善睡眠；以材質、尺寸與清潔維護表述。,Q-0014
later,換季寢具與睡眠空間,小宅睡眠空間整理：床包、枕頭、沙發墊與布品怎麼搭才不亂,small-bedroom-bedding-pillow-textile-setup,lifestyle-culture,重視居家舒適、剛搬家、換季整理讀者,蝦米寢具、CHIMGU 寢谷家居、雅各Jacob、Arvo Home、久賴家居,小宅睡眠空間、布品、枕頭與沙發墊,避免療效與睡眠品質保證。,roadmap-only
1,餐桌料理與自煮生活,自煮生活先買鍋還是餐具：日本鍋具、鐵鍋與餐桌工具的選購順序,home-cooking-pan-tableware-tool-buying-order,lifestyle-culture,自煮族、家庭料理、送禮與餐桌美學讀者,廚藝日本鍋具館、鐵本舖台灣鐵鍋、大正餐具、Home & Ceramics,自煮、鍋具、餐具與餐桌工具,商品材質與規格以商品頁為準。,Q-0013
later,餐桌料理與自煮生活,週末餐桌升級：異國食材、台灣小農、蜂蜜與甜點的待客清單,weekend-table-global-food-honey-dessert-hosting,lifestyle-culture,自煮族、家庭料理、送禮與餐桌美學讀者,食材玩家、河洛台灣精品館、三代養蜂場、BBHONEY、Kris 克里酥、港記酥皇,待客、伴手禮、蜂蜜、甜點與異國食材,不寫健康功效；以風味與情境搭配為主。,roadmap-only
later,餐桌料理與自煮生活,辦公室與家庭都能放的點心櫃：堅果、豆乾、甜品與茶飲怎麼搭,office-home-snack-cabinet-nuts-tea-dessert,lifestyle-culture,自煮族、家庭料理、送禮與餐桌美學讀者,囍素堅果、德利豆乾、豆韻、在生活中加點甜｜魏姐包心粉圓、KoreaTop 韓物通,點心櫃、堅果、豆乾、甜品、茶飲,避免營養或健康承諾。,roadmap-only
1,無糖茶飲、咖啡與日常飲品,下午三點不要只喝手搖：無糖茶、花草茶與辦公室飲品清單,office-afternoon-tea-drink-pantry-guide,lifestyle-culture,辦公室、下午茶、家庭補貨與低負擔飲品讀者,"LING CHÁ、love, charlotte 樂芙夏、超激食驗室、水魔素m+、清涼酵素",辦公室飲品、茶包、花草茶、日常飲品,草本與酵素只寫口味與搭配，不寫功效。,Q-0013
later,無糖茶飲、咖啡與日常飲品,蜂蜜、草本飲與沖泡補給：日常飲品怎麼選得舒服不誇張,honey-herbal-drink-daily-pantry-guide,lifestyle-culture,辦公室、下午茶、家庭補貨與低負擔飲品讀者,本草養生From Nature、三代養蜂場、BBHONEY、清涼酵素、水魔素m+,蜂蜜、草本飲、沖泡補給,保守語氣，不寫保健、改善或療效。,roadmap-only
1,保守型健康食品與低負擔點心,外食族的低負擔零食櫃：低醣點心、堅果、素食零嘴與沖泡飲,light-snack-cabinet-low-sugar-nuts-vegetarian,wellness-movement,外食族、素食者、健身飲食、控糖或低醣關注者,D醣一刻、囍素堅果、本草養生From Nature、JAYSUWAN-健素旺,低醣點心、素食零嘴、沖泡飲,不得承諾控糖、減重、代謝或健康效果。,Q-0013
later,保守型健康食品與低負擔點心,保健食品不要亂堆：素食營養、薏仁錠與日常補給的保守選購法,conservative-supplement-vegetarian-job-tears-guide,wellness-movement,外食族、素食者、健身飲食、控糖或低醣關注者,BWYA 薏仁錠、JAYSUWAN-健素旺、本草養生From Nature、富達醫材、強哥批發,保健食品、素食營養、日常補給,高風險題材，需有專業諮詢提醒，不得寫療效。,roadmap-only
2,保養、彩妝與低壓儀容,早上十分鐘也能整理好：唇膏、妝前保養與日系韓系美妝小物,ten-minute-morning-grooming-lip-makeup-kit,casual-chic,上班族、日常保養、送禮、美妝入門讀者,傳奇今生唇膏、K-Belle、韓國美妝精選、新幹線 JAPAN、KORENA 珂蕾娜,唇膏、妝前保養、日韓美妝小物,不寫抗老、修復或醫美效果。,Q-0014
2,保養、彩妝與低壓儀容,保養流程越簡單越要選對：極簡保養、髮品與日夜照護清單,simple-skincare-haircare-day-night-routine,lifestyle-culture,上班族、日常保養、送禮、美妝入門讀者,OBHL極簡保養、MEDUSA、Make Friends、ENIE 雅如詩、LOYE 樂妍、IRIYA,極簡保養、髮品、日夜照護,避免成分療效與肌膚改善承諾。,Q-0014
later,保養、彩妝與低壓儀容,頭髮、頭皮與妝容收納：把浴室與梳妝台整理成低壓工作站,hair-scalp-makeup-bathroom-vanity-organization,lifestyle-culture,上班族、日常保養、送禮、美妝入門讀者,髮克希企業社、澄妍選品、JDT_Beauty Plan、Make Friends、MEDUSA,頭髮、頭皮、妝容、浴室收納,不寫生髮、治療、頭皮疾病改善。,roadmap-only
1,香氛、香品與居家氣味,家裡的味道也需要整理：香氛、香品、清潔與除味用品怎麼分工,home-scent-incense-cleaning-odor-zones,lifestyle-culture,居家儀式、空間氣味、送禮、清潔除味讀者,Lingscent、引香室、騰鼎沉檀香、鼎曨沉檀香、宜品香舖,香氛、香品、清潔、除味用品,不得宣稱淨化、療癒或除菌效果。,Q-0013
later,香氛、香品與居家氣味,不靠大量香味堆疊：玄關、客廳、浴室的氣味管理清單,entry-living-bathroom-scent-management-guide,lifestyle-culture,居家儀式、空間氣味、送禮、清潔除味讀者,Lingscent、引香室、騰鼎沉檀香、宜品香舖、上手家居,玄關、客廳、浴室氣味管理,以氣味層次與清潔習慣表述。,roadmap-only
2,親子、童裝與家庭學習,親子家庭的週末補貨清單：童裝、玩具、早餐與兒童用品,family-weekend-restock-kids-clothes-toys-breakfast,lifestyle-culture,新手爸媽、親子禮物、家庭學習與日用品補貨,花兒朵朵、Arbea購物、Baby童衣、包寧安/櫻桃小丸子、花漾饅頭屋,童裝、玩具、早餐、兒童用品,不寫教養效果；聚焦補貨順序與使用情境。,Q-0014
later,親子、童裝與家庭學習,開學與學習角落整理：文具、考試書、兒童電動牙刷與生活用品,school-learning-corner-books-stationery-kids-toothbrush,lifestyle-culture,新手爸媽、親子禮物、家庭學習與日用品補貨,智忠書局、睿睿購文具舖、youlijing優立淨、Q貝比、MIDODO母嬰,文具、考試書、兒童電動牙刷、生活用品,不承諾學習或口腔健康效果。,roadmap-only
later,親子、童裝與家庭學習,游泳課與戶外課前準備：泳鏡、童裝、早餐與親子外出小物,swimming-class-outdoor-kids-goggles-outing-kit,outdoor-escapes,新手爸媽、親子禮物、家庭學習與日用品補貨,【泳遠｜SwimSight】、Baby童衣、花漾饅頭屋、Arbea、花兒朵朵,泳鏡、童裝、早餐、親子外出,商品規格需以商品頁為準。,roadmap-only
1,旅行箱、出國收納與車用安全,出國前先整理箱包系統：前開式行李箱、登機箱與旅行收納,travel-luggage-front-open-carry-on-packing-system,outdoor-escapes,出差族、家庭旅行、自駕與戶外移動讀者,ENDUO恩多箱包、DW優選家、城市漫遊、戶外趣,行李箱、登機箱、旅行收納,不寫航空規範保證；提醒以航空公司公告為準。,Q-0013
later,旅行箱、出國收納與車用安全,自駕與露營路上的備用清單：行車記錄器、救車電源、餐廚與戶外小物,road-trip-camping-dashcam-jump-starter-kitchen-kit,outdoor-escapes,出差族、家庭旅行、自駕與戶外移動讀者,潛伏者行車記錄器、philo飛樂 / arlink、大正餐具、趴趴走戶外部品店、戶外趣,行車記錄器、救車電源、餐廚、戶外小物,不承諾安全結果；以準備順序與使用限制表述。,roadmap-only
later,旅行箱、出國收納與車用安全,長輩與戶外旅行的視線管理：老花眼鏡、偏光太陽眼鏡與旅行配件,family-travel-reading-sunglasses-vision-accessories,outdoor-escapes,出差族、家庭旅行、自駕與戶外移動讀者,極光視覺 Polars Design、城市漫遊、DW優選家、ENDUO恩多箱包,老花眼鏡、偏光太陽眼鏡、旅行配件,視力需求需諮詢專業；不得寫治療或矯正保證。,roadmap-only
1,寵物新手與小眾寵物生活,第一次養寵物不要一次買太多：食品、玩具、清潔與外出用品順序,first-pet-shopping-food-toy-cleaning-outing-order,lifestyle-culture,新手毛孩家庭、貓奴、爬蟲/水族、小寵主人,GenePet.tw、愛喵樂、福媽寵物、寵物好事達、摩摩寵物、派派寵物,寵物食品、玩具、清潔、外出用品,不寫寵物健康或保健功效；提醒依獸醫與商品頁資訊判斷。,Q-0013
later,寵物新手與小眾寵物生活,毛孩生日與送禮怎麼準備：寵物蛋糕、零食、玩具與慶生小物,pet-birthday-cake-snack-toy-gift-guide,lifestyle-culture,新手毛孩家庭、貓奴、爬蟲/水族、小寵主人,NiNiJA 妮妮家、毛雪旺、71小舖、免睏寵物樂園、威杰爾寵物,寵物蛋糕、零食、玩具、慶生小物,不得宣稱食品健康效果。,roadmap-only
later,寵物新手與小眾寵物生活,不只貓狗：水族、爬蟲與小寵家庭的補貨清單,aquarium-reptile-small-pet-restock-guide,lifestyle-culture,新手毛孩家庭、貓奴、爬蟲/水族、小寵主人,Aqua Corner、GenePet.tw、福媽寵物、派派寵物,水族、爬蟲、小寵補貨,需保守，避免飼養醫療建議。,roadmap-only
2,居家照護與身體活動輔助,家裡有人需要照護時，先整理哪些用品：醫材通路、輔具與生活消耗品,home-care-supplies-medical-aid-consumables,wellness-movement,照護家庭、久坐上班族、輕運動與長輩用品讀者,里享生活醫材、強哥批發、富達醫材、志遠書局,照護用品、輔具、醫材通路、生活消耗品,高風險內容，需專業諮詢提醒，不寫安全或醫療保證。,Q-0014
later,居家照護與身體活動輔助,辦公室久坐後的低門檻活動清單：伸展小物、枕頭與低負擔點心,desk-sitting-stretch-pillow-light-snack-guide,wellness-movement,照護家庭、久坐上班族、輕運動與長輩用品讀者,Go 2 運動生活館、ADAN CREST、D醣一刻、富達醫材,伸展小物、枕頭、低負擔點心,不得承諾疼痛改善或健康效果。,roadmap-only
later,居家照護與身體活動輔助,長輩用品不只看功能：閱讀、照護、眼鏡與居家動線的準備順序,family-elder-care-reading-glasses-home-flow,wellness-movement,照護家庭、久坐上班族、輕運動與長輩用品讀者,志遠書局、里享生活醫材、極光視覺、ADAN CREST,閱讀、照護、眼鏡、居家動線,高風險，避免醫療化與安全保證。,roadmap-only
